Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Bombay To Goa,3-Mar-72,0,0,0,1
Pakeezah,4-Feb-72,0,0,0,3
Balidaan,1-Jan-72,0,0,0,1
Shararat,1-Jan-72,0,0,0,1.05
Samadhi,1-Jan-72,0,0,0,1.6
Shor,1-Jan-72,0,0,0,0.88
Mere Jeevan Saathi,1-Jan-72,0,0,0,0.85
Dushmun,1-Jan-72,0,0,0,2.75
Dastaan,1-Jan-72,0,0,0,0.92
Jawani Diwani,1-Jan-72,0,0,0,1.75
Apna Desh,1-Jan-72,0,0,0,2.1
Beimaan,1-Jan-72,0,0,0,2.25
Amar Prem,1-Jan-72,0,0,0,1.5
Apradh,1-Jan-72,0,0,0,1.1
Rampur Ka Laxman,1-Jan-72,0,0,0,1.5
Seeta Aur Geeta,1-Jan-72,0,0,0,3.25
Shehzada,1-Jan-72,0,0,0,0.95
Hare Rama Hare Krishna,1-Jan-72,0,0,0,1.7
Gora Aur Kala,1-Jan-72,0,0,0,2.2
Bhai Ho To Aisa,1-Jan-72,0,0,0,1.25
Anuraag,1-Jan-72,0,0,0,0.9
Namak Haraam,23-Nov-73,0,0,0,1
Aa Gale Lag Jaa,16-Nov-73,0,0,0,1.5
Yaadon Ki Baaraat,3-Nov-73,0,0,0,2.75
Saudagar,26-Oct-73,0,0,0,0
Joshila,19-Oct-73,0,0,0,0.88
Bobby,29-Sep-73,0,0,0,5.5
Anhonee,26-Sep-73,0,0,0,0.95
Jugnu,30-Aug-73,0,0,0,3.5
Abhimaan,27-Jul-73,0,0,0,0.85
Zanjeer,11-May-73,0,0,0,3
Dharma,1-Jan-73,0,0,0,2
Pinjra,1-Jan-73,0,0,0,0.9
Daag,1-Jan-73,0,0,0,3.25
Jheel Ke Us Paar,1-Jan-73,0,0,0,1.2
Black Mail,1-Jan-73,0,0,0,0.98
Heera,1-Jan-73,0,0,0,1.75
Kuchhe Dhaage,1-Jan-73,0,0,0,0.92
Kahani Kismat Ki,1-Jan-73,0,0,0,2.5
Keemat,1-Jan-73,0,0,0,1.1
Loafer,1-Jan-73,0,0,0,2.25
Jaise Ko Taisa,1-Jan-73,0,0,0,1.25
Majboor,6-Dec-74,0,0,0,1.3
Roti,18-Oct-74,0,0,0,2
Roti Kapada Aur Makaan,18-Oct-74,0,0,0,5.25
Benaam,18-Oct-74,0,0,0,0.85
Haath Ki Safai,30-Aug-74,0,0,0,1.5
Kasauti,9-Aug-74,0,0,0,1
Amir Garib,2-Aug-74,0,0,0,2.1
Sagina,26-Jul-74,0,0,0,0.9
Prem Nagar,24-May-74,0,0,0,2.25
